year,employment_pop_ratio,linear_loocv_pred,rf_loocv_pred
2013,17.633333333333333,17.0521831343695,17.34278333333332
2014,17.041666666666668,17.58810695406295,17.614718749999973
2015,17.441666666666666,18.224117100546636,17.409124999999975
2016,17.933333333333334,18.08775493237163,18.279925000000006
2017,18.683333333333334,18.375008429710142,18.429775
2018,19.133333333333333,18.31405006920778,18.87999583333334
2019,19.258333333333333,18.63564795424478,18.89506458333334
2021,19.108333333333334,21.05018910427698,21.630958333333364
2022,21.333333333333332,21.39160547588137,20.988656250000012
2023,22.46666666666667,21.473334236231764,21.762939583333388
2024,22.675,22.593595658894305,21.452060416666683
